Suggested Column Header,Definition (can be copy and pasted into data dictionary after replacing words in brackets),Units (can be copy and pasted into terminology file),Footnote,"Notes (see diagram of terms in ""Diagram"" tab"")"
WaterLevel,[See notes column],[See notes column],,"It is strongly suggested that this term is avoided due to its ambiguity. If the user still chooses it, it must be explicitly defined in as must detail as possible in the data dictionary file. Review the definitions of the other water-related terms to consider information to include."
GaugeHeight,Vertical distance from [the chosen reference point in the water body] up to the water surface. ,Meters or centimeters,*,"Replace the general text to specify the chosen reference point if known. A common reference point is the streambed. Gauge height, gage height, and stage are the same. Gauge height is the preferred term. Stage is ambiguous."
WaterColumnHeight,Vertical distance from [the chosen reference point in the water body] up to the water surface. ,Meters or centimeters,*,See GaugeHeight notes
SensorDepth,Vertical distance from the sensor up to [the chosen reference point above the sensor]. ,Meters or centimeters,*,"Replace the general text to specify the reference point (e.g., water surface, top of well casing). A use case for this measurement is lowering a sensor from a lake surface down to specific water depths to capture stratification."
SensorElevation,Elevation at which the sensor is deployed. ,Meters above mean sea level (NAVD88),,Note that this is elevation of the sensor not the water. The vertical datum must be defined in the data dictionary file's Units field. NAVD88 is preferred.  A use case for this measurement is lowering a sensor from a lake surface down to specific water depths to capture stratification.
DepthToWater,Vertical distance from [the chosen reference point out of the water body] down to the water surface.,Meters or centimeters,*,Replace the general text to specify the chosen reference point. A use case for this measurement is lowering a sensor from the top of a well casing down to the water surface.
SensorHeight,Vertical distance from [the chosen reference point below the sensor] up to the sensor,Meters or centimeters,*,"Replace the general text to specify the chosen reference point. A common reference point is the lakebed or streambed. Depending on the design of the installation, this value may be stable through time and allow for calculating water depth from the logged sensor values in a dynamic waterbody."
WaterSurfaceElevation,Elevation of the surface of the water body. ,Meters above mean sea level (NAVD88),,"Note that this is water surface elevation rather than surface water elevation. This measurement refers to the elevation of the surface of any type of water body, including groundwater wells etc. The vertical datum must be defined in the data dictionary file's Units field. NAVD88 is preferred."
TotalHydraulicHead,Elevation of the surface of the water column.,Meters above mean sea level (NAVD88),,The vertical datum must be defined in the data dictionary file's Units field. NAVD88 is preferred. This is equivalent to water surface elevation.
TotalHydraulicHead,Elevation of the surface of the water column above [the chosen datum],Meters,*,"Chosen datum must be defined. If the elevation of the datum is known, list it."
SensorPressure_Unvented,Pressure exerted by the water column and atmosphere above the sensor,Kilopascals or Meters of H2O,,An unvented pressure sensor that has not been corrected for barometric pressure measures total pressure. Suggest noting the sensor is unvented in the description of the sensor method.
SensorPressure_Vented,Pressure exerted by the water column above the sensor,Kilopascals or Meters of H2O,,A vented pressure sensor measures only the pressure exerted from the water column and does not need to be corrected for barometric pressure. 
SensorPressure_Corrected,Pressure exerted by the water column above the sensor measured by an unvented pressure sensor and corrected for barometric pressure.,Kilopascals or Meters of H2O,,
PressureHead,Pressure in meters of H2O exerted by the column of water above the [middle] of the [well or piezometer] screen,Meters of H2O,*,Replace bracketed text to specify the well or piezometer. Replace 'middle' with correct information if placement differs.
ElectricalCond,Electrical conductivity,MicroSiemens Per Centimeter or MilliSiemens Per Centimeter,**,"To avoid formatting errors, note this uses lowercase 'u'  when representing micro instead of the special character 'mu'."
SpecificCond,Specific conductance,MicroSiemens Per Centimeter or MilliSiemens Per Centimeter,**,"To avoid formatting errors, note this uses lowercase 'u'  when representing micro instead of the special character 'mu'."
DissolvedOxygen,Dissolved oxygen,Milligrams Per Liter or Percent Saturation,**,"Suggest describing the location the measurement was taken in the description of the sensor method. (i.e., 50% water column depth)"
WaterTemp,Water temperature,Degrees Celsius,**,"Suggest describing the location the measurement was taken in the description of the sensor method. (i.e., 50% water column depth)"
pH,pH,pH,**,"Suggest describing the location the measurement was taken in the description of the sensor method. (i.e., 50% water column depth)"
Suggested Term,Definition,Units,,
N/A,Missing text,N/A,,
-9999,Missing value,NA,,
,,,,
*Words within brackets should be modified with the appropriate details from the deployment,,,,
"**Base terms can have suffixes added if needed to differentiate columns or to add detail. Suggested suffixes include: _SurfaceWater, _PoreWater, _Groundwater, _VariablyInundated. The resulting column header would be in the format ""SpecificCond_SurfaceWater"". Most detail should be described via the location or sensor metadata file and/or data dictionary rather than in the suffix.",,,,
